Datetime,Target
1689715440,730872
1689715500,259701
1689715560,249079
1689715620,526854
1689715680,214924
1689715740,222252
1689715800,277517
1689715860,261587
1689715920,235891
1689715980,638973
1689716040,229787
1689716100,259326
1689716160,244204
1689716220,332722
1689716280,633229
1689716340,235901
1689716400,249698
1689716460,292845
1689716520,257524
1689716580,234140
1689716640,441352
1689716700,24153764
1689716760,6023630
1689716820,907714
1689716880,1872906
1689716940,4157425
1689717000,2347730
1689717060,805064
1689717120,242816
1689717180,268766
1689717240,197954
1689717300,280047
1689717360,230054
1689717420,240318
1689717480,240022
1689717540,225265
1689717600,1197197
1689717660,2522617
1689717720,1740446
1689717780,3593380
1689717840,1363195
1689717900,7569558
1689717960,7183849
1689718020,5480534
1689718080,10099999
1689718140,4281397
1689718200,512223
1689718260,228338
1689718320,253358
1689718380,237133
1689718440,281582
1689718500,5379544
1689718560,3176052
1689718620,2216712
1689718680,3737499
1689718740,1371555
1689718800,1018304
1689718860,315442
1689718920,595818
1689718980,582185
1689719040,249055
1689719100,3671225
1689719160,1178467
1689719220,595097
1689719280,378962
1689719340,282874
1689719400,4295237
1689719460,428058
1689719520,240557
1689719580,213060
1689719640,231348
1689719700,977232
1689719760,3441132
1689719820,247129
1689719880,242990
1689719940,417623
1689720000,2164380
1689720060,915016
1689720120,228943
1689720180,310569
1689720240,233577
1689720300,2029384
1689720360,3472198
1689720420,2181745
1689720480,3620146
1689720540,956871
1689720600,6200077
1689720660,1596859
1689720720,3303882
1689720780,8125698
1689720840,236312
1689720900,1120686
1689720960,446400
1689721020,398303
1689721080,311354
1689721140,250136
1689721200,7125995
1689721260,1800490
1689721320,4318668
1689721380,8217407
1689721440,262580
1689721500,7197214
1689721560,10974772
1689721620,18292965
1689721680,17120439
1689721740,16665150
1689721800,5991871
1689721860,1874420
1689721920,359214
1689721980,225457
1689722040,255216
1689722100,6869634
1689722160,3120870
1689722220,9971169
1689722280,9229068
1689722340,4229499
1689722400,11438273
1689722460,983172
1689722520,1818142
1689722580,4172751
1689722640,228988
1689722700,1780026
1689722760,818824
1689722820,243099
1689722880,235677
1689722940,252631
1689723000,2038843
1689723060,287920
1689723120,241632
1689723180,202636
1689723240,208798
1689723300,303220
1689723360,197266
1689723420,262146
1689723480,222555
1689723540,242460
1689723600,1501933
1689723660,2378599
1689723720,2073183
1689723780,4622251
1689723840,1190495
1689723900,1371432
1689723960,3502156
1689724020,4288986
1689724080,5228582
1689724140,4327512
1689724200,4002256
1689724260,968420
1689724320,1718022
1689724380,5045429
1689724440,272166
1689724500,1563648
1689724560,528393
1689724620,7783690
1689724680,1864204
1689724740,275309
1689724800,1729787
1689724860,2561899
1689724920,1715050
1689724980,3888114
1689725040,1290555
1689725100,2426815
1689725160,282179
1689725220,934750
1689725280,293902
1689725340,335473
1689725400,358434
1689725460,369629
1689725520,485387
1689725580,415266
1689725640,463153
1689725700,558659
1689725760,637228
1689725820,524175
1689725880,456017
1689725940,455150
1689726000,503087
1689726060,455469
1689726120,570779
1689726180,487557
1689726240,458460
1689726300,736396
1689726360,587288
1689726420,456507
1689726480,494742
1689726540,455453
1689726600,518065
1689726660,527753
1689726720,3416087
1689726780,1208058
1689726840,2079395
1689726900,4534543
1689726960,480908
